keyword_busqueda,titulo,empresa,ubicacion,descripcion,salario_min,salario_max,fecha_creacion,url
python,Python Developer,PrimeIT España,España,"¿Estás preparadx para un cambio y explotar tus habilidades como nunca? Sigue leyendo porque tenemos lo que buscas… ¿Quiénes somos? Somos una empresa internacional con más de 18 años de experiencia en consultoría e ingeniería informática. Con más de 2.500 Primers operando en 4 sectores principales en todo el mundo: IT, Telecomunicaciones, Energía e Infraestructuras. Nos puedes encontrar en más de 50 ciudades en todo el mundo: ESPAÑA | PORTUGAL | FRANCIA | REINO UNIDO | ITALIA | SUIZA | POLONIA |…",,,2026-09-09T03:46:57Z,https://www.adzuna.es/land/ad/5876469587?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=104C1DA4648DD1FF2DB88F1BD45F57B1CD2D89CC
python,Sr Python Developer,Capitole,España,"Capitole is growing, and we want to grow with you! We are looking for a Sr Python Developer to join an exciting project in an international environment. What we’re looking for: 5 years of professional experience with Python , including Python 3.12. Strong experience with Django, Django REST Framework, Celery and Redis . Experience working with MongoDB and PostgreSQL . Knowledge of Azure Data Explorer / KQL is a plus. Experience with data processing using Pandas and NumPy . Experience with pytes…",,,2026-09-09T03:46:43Z,https://www.adzuna.es/land/ad/5876468980?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=DAD75EA107ECA285842CE0FD3B1130EBD9C7271B
python,Fullstack Developer (Python),ALTEN,España,"En ALTEN tenemos claro que el éxito de nuestros proyectos se debe a las personas que forman nuestro equipo. Por eso, si tienes experiencia como Developer en tecnología POO con acceso al Lago de Datos nos comprometemos a impulsar tu talento, satisfacer tus expectativas laborales y hacerte sentir como en casa. ¿Quieres construir hoy el mundo de mañana? ¡Sigue leyendo! ¿Cuáles serían tus principales funciones? Desarrollar soluciones en tecnología POO , utilizando principalmente Java y JavaScript .…",,,2026-09-10T15:48:16Z,https://www.adzuna.es/land/ad/5878500280?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=6B0CD9D8E8DA55E10BD8FCDC3B589DFFF6BDFB03
python,ActiveViam Developer (Java/Python),SOTEC CONSULTING,España,"Oferta de Empleo: ActiveViam Developer (Java/Python) Modalidad: 100% remoto Tipo de contrato: Indefinido Jornada: 09:00 - 18:00h Sobre el puesto Desde SOTEC Consulting – Grupo Astek buscamos un/a ActiveViam Developer (Java/Python) para incorporarse a un proyecto en el ámbito de Riesgos de Mercado . Buscamos un perfil con experiencia en desarrollo utilizando Java y Python , con conocimientos de la plataforma ActiveViam , bases de datos analíticas mediante Cubos OLAP y experiencia en Riesgos de M…",,,2026-09-09T03:46:35Z,https://www.adzuna.es/land/ad/5876468410?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=F53CC70F44165D23737E5BF9B9E2CAFE6256DAF9
python,Simulation Software Engineer - Python,Lognext,España,"En Lognext llevamos más de 18 años acompañando a empresas y equipos en la identificación e implementación de soluciones tecnológicas que les permitan avanzar, optimizar sus procesos y afrontar nuevos retos. Actualmente buscamos incorporar un/a Senior Python Simulation & Test Automation Engineer para participar en un proyecto internacional de ID vinculado al desarrollo y validación de una plataforma tecnológica de nueva generación, basada en sistemas embebidos, dispositivos conectados y arquitec…",,,2026-09-09T03:46:48Z,https://www.adzuna.es/land/ad/5876469214?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=BA34A8A2FB28EE02B3371559E8E23B05B3EF2D18
python,Senior Developer Python/Django,Plexus Tech,España,"En Plexus Tech seguimos creciendo y buscamos a profesionales para trabajar en el desarrollo de tecnología con alma. Somos una compañía tecnológica especializada en servicios y productos IT, basados en la innovación y el desarrollo. Fundada en el talento y las capacidades de nuestra gente, casi 5.000 profesionales que crecen con nosotros en proyectos propios, compañías del IBEX 35, grandes retailers, operadores turísticos, entidades financieras, organismos públicos y empresas internacionales. Ne…",,,2026-09-09T03:46:34Z,https://www.adzuna.es/land/ad/5876468302?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=04F11AD6B4F746495A0C66F9655E4F44897E8AB7
python,Desarrollador/a Senior Python,Plexus Tech,España,"En Plexus Tech seguimos creciendo y buscamos a profesionales para trabajar en el desarrollo de tecnología con alma. Somos una compañía tecnológica especializada en servicios y productos IT, basados en la innovación y el desarrollo. Fundada en el talento y las capacidades de nuestra gente, casi 5.000 profesionales que crecen con nosotros en proyectos propios, compañías del IBEX 35, grandes retailers, operadores turísticos, entidades financieras, organismos públicos y empresas internacionales. Bu…",,,2026-09-09T15:48:44Z,https://www.adzuna.es/land/ad/5877134303?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=6276FBCD7553D65164D972A53C0C43CE031D68DD
python,Principal Platform Engineer (Python),Intellias,España,"Principal Platform Engineer (Python) Location: Remote from Spain (an indefinite Spanish employment contract) Our client is a leading global investment management company headquartered in London. It manages over $228 billion in assets and serves institutional investors, pension funds, wealth managers, and other sophisticated clients worldwide. The firm specializes in quantitative investing, alternative investments, systematic trading strategies, and technology-driven asset management. Data scien…",,,2026-09-09T03:46:52Z,https://www.adzuna.es/land/ad/5876469409?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=565DB6AFC4CEF58D2965E5F71F30948A46888FA3
python,Desarrollador Full Stack Python,DIGITAL55,España,"En Digital55 estamos deseando conocerte. Somos una empresa con más de 20 años en el sector, trabajando en proyectos pioneros a la vanguardia del desarrollo de software. Nos encontramos en búsqueda de un perfil Desarrollador Full Stack en modalidad 100% Remoto , con ganas de crecer y seguir desarrollando su carrera profesional para incorporarse a un proyecto tecnológico de primer nivel ¡Sigue leyendo para no perder ni un detalle! ¿Qué ofrecemos? Contrato indefinido y retribución atractiva: Únete…",,,2026-09-14T03:48:12Z,https://www.adzuna.es/land/ad/5883110157?se=-Fqy_iqw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=130166DDD94F7BBF162E07946BD87C0994361449
python,Desarrollador Python,Jetup Systems Barcelona,Barcelona,"Python Developer Company: Jetup Systems Barcelona (Warm Up) Location: Carrer de Balmes, 150, 08008 Barcelona, Catalunya, Spain Salary: €3,000 per month Job Type: Full-time Job Description Jetup Systems Barcelona is looking for a skilled and motivated Python Developer to join our growing technology team. In this role, you will design, develop, test, and maintain high-quality Python applications while collaborating with cross-functional teams to deliver innovative software solutions. Responsibili…",,,2026-06-29T09:06:14Z,https://www.adzuna.es/details/5780929108?utm_medium=api&utm_source=183d4d76
